Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-PA4733	202	189	102	120	15	9	11	5	host	acsB	0.9537017024888454	0	0	0	1
gene-PA0027	249	263	92	195	18	11	13	8	host	gene-PA0027	0.9896060976307955	0	0	0	1
gene-PA4819	0	3	1	5	1	1	0	0	host	gene-PA4819	1.2026142323020865	0	1	0	1
gene-PA0407	643	764	256	382	49	60	17	10	host	gshB	1.0214689711457308	0	0	0	1
gene-PA4496	209	197	279	292	32	20	14	4	host	gene-PA4496	0.8968064331547271	0	0	0	1
gene-PA1563	51	48	33	37	9	8	3	4	host	gene-PA1563	0.7860463956273961	0	0	0	1
gene-PA0532	21	24	14	23	1	4	1	3	host	gene-PA0532	0.8420049562413416	0	0	0	1
gene-PA3666	94	84	142	195	34	21	11	10	host	dapD	0.8593052235563654	0	0	0	1
gene-PA3294	45	50	23	28	9	8	6	1	host	gene-PA3294	0.8163553063214385	0	0	0	1
gene-PA4006	296	369	256	490	40	69	28	12	host	nadD	0.8742461766478024	0	0	0	1
gene-PA4932	874	1502	847	1756	489	708	342	182	host	rplI	0.6117652461671148	0	0	0	1
gene-PA5347	96	118	60	114	9	13	4	17	host	gene-PA5347	0.8574239582784886	0	0	0	1
gene-PA2290	405	462	526	690	129	120	37	16	host	gcd	0.7972041516096389	0	0	0	1
gene-PA3088	54	84	51	64	17	18	5	4	host	gene-PA3088	0.7557028850997791	0	0	0	1
gene-PA0430	163	203	261	359	51	75	21	17	host	metF	0.8098579772338017	0	0	0	1
gene-PA4308	343	283	128	189	39	39	36	24	host	gene-PA4308	0.8625968155398644	0	0	0	1
gene-PA0527.1	427	1361	370	842	312	668	449	267	host	rsmY	0.5840873945288729	0	0	0	1
gene-PA1664	2	3	2	4	0	1	4	1	host	gene-PA1664	0.6416889479197478	0	1	0	1
gene-PA3738	25	26	18	28	2	3	3	1	host	xerD	0.8553227891806141	0	0	0	1
gene-PA2029	23	39	15	14	6	2	2	2	host	gene-PA2029	0.9484299004598821	0	0	0	1
gene-PA4085	6	10	3	7	0	1	0	1	host	cupB2	1.0	0	1	0	1
gene-PA3760	30	29	7	21	7	6	2	2	host	gene-PA3760	0.8479002955787924	0	0	0	1
gene-PA1501	46	39	18	18	2	3	4	5	host	gene-PA1501	0.9511238028459765	0	0	0	1
gene-PA0771	159	226	264	403	45	60	25	18	host	era	0.8661408661412991	0	0	0	1
gene-PA2611	330	217	302	365	54	38	24	20	host	cysG	0.832643994722759	0	0	0	1
gene-PA4300	27	14	16	32	8	5	7	4	host	tadC	0.6913424772593014	0	0	0	1
gene-PPLUZ19_gp36	0	0	259	543	55	282	197229	129583	phage	gp36	1.772705177271546	0	1	0	1
gene-PA4008	21	8	13	15	2	1	0	5	host	gene-PA4008	0.8712366236780166	0	1	0	1
gene-PA4214	8	90	8	206	2	27	9	2	host	phzE1	1.5244647482296996	0	0	0	1
gene-PA4694	772	853	891	993	155	168	63	66	host	ilvC	0.7831702010945102	0	0	0	1
gene-PA5103	60	40	21	28	2	7	1	3	host	gene-PA5103	0.9888110510202253	0	0	0	1
gene-PA2972	35	44	75	105	15	13	4	6	host	gene-PA2972	0.9149765827311959	0	0	0	1
gene-PA5432	1	3	2	8	0	4	1	1	host	gene-PA5432	0.9591663046625438	0	1	0	1
gene-PA3512	6	7	5	6	2	1	0	1	host	gene-PA3512	0.7423074889580903	0	1	0	1
gene-PA5095	25	37	25	25	6	6	0	1	host	gene-PA5095	0.835645858004454	0	1	0	1
gene-PPLUZ19_gp16	0	0	5	8	99293	112838	57700	50473	phage	gp16	1.1043949395805095	0	1	0	1
gene-PA0035	52	43	23	33	1	4	6	2	host	trpA	0.9232923527194	0	0	0	1
gene-PA2709	241	172	109	102	21	26	9	3	host	cysK	0.9519844102156586	0	0	0	1
gene-PA1304	83	74	62	92	9	18	11	8	host	gene-PA1304	0.7653520217857965	0	0	0	1
gene-PA0803	30	34	22	42	3	9	3	4	host	gene-PA0803	0.7974866809216294	0	0	0	1
gene-PA4870	5	8	6	12	5	2	0	0	host	gene-PA4870	0.8068268271976785	0	1	0	1
gene-PA2594	16	25	19	19	2	5	4	2	host	gene-PA2594	0.7492907799832211	0	0	0	1
gene-PA0495	42	42	18	29	6	5	4	2	host	gene-PA0495	0.862327358569936	0	0	0	1
gene-PA1915	83	79	30	40	11	7	7	7	host	gene-PA1915	0.9082066406451945	0	0	0	1
gene-PPLUZ19_gp40	0	0	97	195	14	69	18846	12573	phage	gp40	1.7499499970177688	0	1	0	1
gene-PA0045	86	183	294	344	79	88	39	39	host	gene-PA0045	0.763873105897557	0	0	0	1
gene-PA5320	163	170	101	164	29	14	21	11	host	coaC	0.8143824276577771	0	0	0	1
gene-PA4147	93	34	21	38	4	10	3	3	host	acoR	1.1086256383105626	0	0	0	1
gene-PA3417	25	9	4	9	3	1	2	1	host	gene-PA3417	1.1154237293611553	0	0	0	1
gene-PA2962	88	74	73	114	7	20	5	7	host	tmk	0.8391144637164797	0	0	0	1
gene-PA5216	149	173	28	39	4	5	8	3	host	gene-PA5216	1.2683596486694133	0	0	0	1
gene-PA0887	1524	944	686	927	203	127	82	116	host	acsA	0.860413834244541	0	0	0	1
gene-PA1281	5	6	4	8	0	2	1	0	host	cobV	0.8531181928007244	0	1	0	1
gene-PA2037	48	67	28	56	5	12	5	2	host	gene-PA2037	0.8690647748119114	0	0	0	1
gene-PA2057	14	16	5	6	4	0	1	1	host	gene-PA2057	0.9607508004149478	0	1	0	1
gene-PPLUZ19_gp44	0	0	48	58	9	39	1816	1163	phage	gp44	1.6721610919456846	0	1	0	1
gene-PA2279	8	4	4	10	2	3	2	2	host	arsC	0.6458659745975608	0	0	0	1
gene-PA4180	122	93	58	42	14	6	3	10	host	gene-PA4180	0.9569957837470643	0	0	0	1
gene-PA2433	14	9	13	13	4	1	0	2	host	gene-PA2433	0.7889543583705186	0	1	0	1
gene-PA4222	213	173	124	180	52	55	7	7	host	gene-PA4222	0.7535583573156469	0	0	0	1
gene-PA3526	104	86	81	97	15	23	11	6	host	gene-PA3526	0.7543371826780476	0	0	0	1
gene-PA1143	11	6	3	2	1	1	1	0	host	gene-PA1143	1.1019981851164729	0	1	0	1
gene-PA5496	84	130	60	114	4	13	11	1	host	nrdJb	0.9379626211842003	0	0	0	1
gene-PA5428	56	34	25	27	8	9	3	2	host	gene-PA5428	0.8522636687637145	0	0	0	1
gene-PA2908	32	20	17	24	5	6	0	2	host	cbiD	0.8222173045094688	0	1	0	1
gene-PA0435	20	14	16	37	3	4	2	1	host	gene-PA0435	0.9559875583459182	0	0	0	1
gene-PA1259	14	6	3	4	0	2	2	1	host	gene-PA1259	1.0383279828647594	0	1	0	1
gene-PA3303	27	19	12	17	5	2	2	0	host	gene-PA3303	0.87416951193742	0	1	0	1
gene-PA5542	450	262	240	334	37	31	6	7	host	gene-PA5542	0.9462011673783467	0	0	0	1
gene-PA5167	536	505	1006	1398	113	93	21	28	host	gene-PA5167	1.0313292535453495	0	0	0	1
gene-PA5354	6	6	1	4	0	0	0	0	host	glcE	1.2098214000707725	0	1	0	1
gene-PPLUZ19_gp48	0	0	150	232	32	118	1100	717	phage	gp48	1.2775000909168237	0	1	0	1
gene-PA1831	81	138	88	94	18	23	11	8	host	gene-PA1831	0.7918699589655744	0	0	0	1
gene-PA1023	51	58	33	34	6	3	1	0	host	gene-PA1023	0.9534791250472124	0	1	0	1
gene-PA3303a	9	11	9	7	0	1	0	0	host	gene-PA3303a	0.9725975251592747	0	1	0	1
gene-PA3368	12	16	13	26	3	5	2	0	host	gene-PA3368	0.8550742452665726	0	1	0	1
gene-PA1542	8	12	6	25	6	2	1	1	host	gene-PA1542	0.979087981746827	0	0	0	1
gene-PA5039	518	356	279	370	47	27	17	20	host	aroK	0.9154325787678013	0	0	0	1
gene-PA0516	12	7	4	5	3	1	1	1	host	nirF	0.8381062852220592	0	0	0	1
gene-PA0955	211	183	206	289	40	45	29	18	host	gene-PA0955	0.7759270910075302	0	0	0	1
gene-PA1947	74	52	69	89	12	9	2	4	host	rbsA	0.8635999908045487	0	0	0	1
gene-PA0668.3	241	564	236	434	157	345	211	131	host	gene-PA0668.3	0.4776471572422989	0	0	0	1
gene-PA3110	95	118	170	263	47	40	20	12	host	gene-PA3110	0.8448763540628755	0	0	0	1
gene-PA0542	182	101	51	88	14	16	6	5	host	gene-PA0542	1.0109629558412176	0	0	0	1
gene-PA5193	121	140	71	127	21	23	21	10	host	yrfI	0.7726166020430005	0	0	0	1
gene-PA2231	45	60	47	75	11	7	4	7	host	pslA	0.8195308776214597	0	0	0	1
gene-PA1870	3	13	2	9	1	2	4	0	host	gene-PA1870	0.9825466522641216	0	1	0	1
gene-PA4977	45	48	37	88	4	5	1	3	host	aruI	1.0113854953988701	0	0	0	1
gene-PA2659	75	86	57	68	14	25	5	7	host	gene-PA2659	0.7313381313168774	0	0	0	1
gene-PA0358	17	23	32	51	10	15	4	2	host	gene-PA0358	0.7842908647732078	0	0	0	1
gene-PA2692	45	21	25	24	9	5	7	0	host	gene-PA2692	0.808154803766711	0	1	0	1
gene-PA2922	3	1	0	3	0	0	0	1	host	gene-PA2922	1.224744871391589	0	1	0	1
gene-PA5149.1	105	156	29	56	6	9	5	6	host	gene-PA5149.1	1.133325171870799	0	0	0	1
gene-PA3314	19	17	8	15	6	5	5	3	host	gene-PA3314	0.5996931058218719	0	0	0	1
gene-PA3079	1369	1208	1904	2317	129	81	39	61	host	gene-PA3079	0.9779580232093116	0	0	0	1
gene-PA0710	3	5	3	0	0	0	0	0	host	gloA2	1.3575622293698253	0	1	0	1
gene-PA4439	163	140	115	137	25	26	13	12	host	trpS	0.7764723922043176	0	0	0	1
gene-PA0332	29	42	27	37	7	10	4	1	host	gene-PA0332	0.7617525503398114	0	0	0	1
gene-PA0626	121	101	98	162	107	131	86	57	host	gene-PA0626	0.27123380576797407	0	0	0	1
gene-PA4721	117	144	54	71	7	11	6	6	host	gene-PA4721	0.9850960365281305	0	0	0	1
gene-PA1031	476	363	154	251	33	50	33	13	host	gene-PA1031	0.9535708961132855	0	0	0	1
gene-PA2102	29	44	14	19	2	1	1	1	host	gene-PA2102	1.0813438119186283	0	0	0	1
gene-PA2936	1	3	1	5	0	0	0	2	host	gene-PA2936	1.1055415967851332	0	1	0	1
gene-PA5408	64	21	17	22	4	4	1	0	host	gene-PA5408	1.1901331783902958	0	1	0	1
gene-PA0793	395	152	236	193	25	16	8	12	host	gene-PA0793	1.0159445778194798	0	0	0	1
gene-PA1373	19	8	15	16	3	8	4	1	host	fabF2	0.6745937283431721	0	0	0	1
gene-PA3617	673	655	364	480	109	141	96	56	host	recA	0.7459041535321118	0	0	0	1
gene-PA1013	563	534	388	529	89	107	60	58	host	purC	0.7503261533832576	0	0	0	1
gene-PA2800	267	386	289	439	82	77	58	49	host	gene-PA2800	0.7201880104978782	0	0	0	1
gene-PA3109	61	71	66	117	20	22	11	10	host	gene-PA3109	0.7501854422066804	0	0	0	1
gene-PA0499	37	27	15	20	5	4	4	3	host	gene-PA0499	0.8289196284758793	0	0	0	1
gene-PA1022	68	69	49	53	9	7	9	4	host	gene-PA1022	0.8067989105516167	0	0	0	1
gene-PA2932	11	5	1	4	2	2	1	0	host	morB	1.0175966581017657	0	1	0	1
gene-PA3652	349	442	248	358	99	142	107	60	host	uppS	0.5958579464922842	0	0	0	1
gene-PA2109	48	2	53	15	6	5	1	2	host	gene-PA2109	1.2177897756006133	0	0	0	1
gene-PA1528	716	692	356	610	71	101	56	38	host	zipA	0.8564145152056408	0	0	0	1
gene-PA1364	81	51	5	6	1	4	1	1	host	gene-PA1364	1.511967077830878	0	0	0	1
gene-PA0163	24	17	6	10	3	2	3	1	host	gene-PA0163	0.9384159131637589	0	0	0	1
gene-PA2021	5	8	4	8	4	2	0	0	host	gene-PA2021	0.7572061028584195	0	1	0	1
gene-PA3208	40	30	29	32	9	7	7	0	host	gene-PA3208	0.7299348309816309	0	1	0	1
gene-PA2258	8	11	4	11	0	4	0	0	host	ptxR	0.9341178604894131	0	1	0	1
gene-PA3581	24	31	44	74	5	5	3	0	host	glpF	1.0406802474825247	0	1	0	1
gene-PA4551	50	57	62	82	10	12	5	2	host	pilV	0.8323804075404122	0	0	0	1
gene-PA4926	29	19	13	23	1	4	1	2	host	gene-PA4926	0.903678682209849	0	0	0	1
gene-PA5452	964	707	614	836	54	54	9	22	host	wbpW	0.9436627863019686	0	0	0	1
gene-PA1885	29	19	3	6	2	3	0	0	host	gene-PA1885	1.2736830337032021	0	1	0	1
gene-PA0077	153	145	124	222	34	43	34	22	host	icmF1	0.7121467853136604	0	0	0	1
gene-PA1553	223	334	233	411	78	109	79	52	host	ccoO1	0.652999835187216	0	0	0	1
gene-PA2060	4	3	3	1	0	2	0	0	host	gene-PA2060	0.9198662110077999	0	1	0	1
gene-PA2916	2	1	1	0	1	0	0	1	host	gene-PA2916	0.8819171036881969	0	1	0	1
gene-PA2400	16637	16028	14908	22967	2903	3447	1435	1018	host	pvdJ	0.8128305332970941	0	0	0	1
gene-PA1009	72	56	52	53	8	17	3	5	host	gene-PA1009	0.7796017224264363	0	0	0	1
gene-PA3833	32	34	16	27	5	5	2	2	host	gene-PA3833	0.8392118653597979	0	0	0	1
gene-PA0318	214	159	78	99	20	27	11	146	host	gene-PA0318	0.7356954123340723	0	0	0	1
gene-PA0195.1	8	12	2	7	2	0	1	1	host	pntAB	0.9805266477189962	0	1	0	1
gene-PA0155	17	4	8	4	6	3	4	1	host	pcaR	0.7866587892483469	0	0	0	1
gene-PA4459	120	138	88	146	35	46	22	19	host	gene-PA4459	0.6443503930660243	0	0	0	1
gene-PA0580	124	137	100	174	37	51	21	12	host	gcp	0.6842322019075872	0	0	0	1
gene-PA3915	2	4	3	6	3	1	1	0	host	moaB1	0.7211102550927978	0	1	0	1
gene-PA4409	505	468	435	663	36	54	27	15	host	ftsQ	0.9090848427938838	0	0	0	1
gene-PA0831	64	44	15	25	8	12	6	6	host	oruR	0.8765814632584898	0	0	0	1
gene-PA2971	838	1699	986	1761	402	544	339	164	host	gene-PA2971	0.6766953106115621	0	0	0	1
gene-PA2083	13	12	8	9	1	0	1	1	host	gene-PA2083	0.9062199335157192	0	1	0	1
gene-PA5052	20	28	24	30	6	7	5	4	host	gene-PA5052	0.6704712803492429	0	0	0	1
gene-PA0361	74	69	62	92	14	16	11	5	host	gene-PA0361	0.7574285669173294	0	0	0	1
gene-PA5439	120	74	29	37	13	12	4	7	host	gene-PA5439	1.02524739126436	0	0	0	1
gene-PA3424	12	16	14	19	5	5	3	2	host	gene-PA3424	0.6424502955649317	0	0	0	1
gene-PA2905	1	2	1	8	1	1	0	0	host	cobH	1.392399192115566	0	1	0	1
gene-PA3115	1924	1529	956	1245	194	203	94	90	host	fimV	0.8772871635894224	0	0	0	1
gene-PA3302	136	97	93	117	33	23	8	11	host	gene-PA3302	0.7427893113140296	0	0	0	1
gene-PA3602	35	70	27	42	7	8	5	2	host	gene-PA3602	0.9078765885524581	0	0	0	1
gene-PA0207	16	12	4	7	4	0	1	1	host	gene-PA0207	0.9529680729951808	0	1	0	1
gene-PA3482	268	366	297	366	52	92	58	29	host	metG	0.7204186579203451	0	0	0	1
gene-PA2257	2	0	2	2	0	0	0	0	host	pvcD	1.2909944487358056	0	1	0	1
gene-PA0728	39	46	16	29	3	4	3	4	host	gene-PA0728	0.9196080754026027	0	0	0	1
gene-PA2882	9	11	9	13	2	7	2	2	host	gene-PA2882	0.5972388256602488	0	0	0	1
gene-PA4218	312	267	397	608	62	78	30	40	host	gene-PA4218	0.872176139161064	0	0	0	1
gene-PA4606	465	552	728	887	96	84	49	42	host	gene-PA4606	0.8740032260043736	0	0	0	1
gene-PA3446	5	3	1	4	1	0	2	2	host	gene-PA3446	0.693888666488711	0	1	0	1
gene-PA5489	541	540	287	342	51	81	49	34	host	dsbA	0.8480492034720211	0	0	0	1
gene-PA0511	6	5	1	2	1	0	0	0	host	nirJ	1.1756794725698931	0	1	0	1
gene-PA0940	38	21	37	24	12	17	1	3	host	gene-PA0940	0.6784490030074083	0	0	0	1
gene-PA4807	88	56	41	45	6	9	6	6	host	selB	0.8885834023824655	0	0	0	1
gene-PA4840	31	43	22	37	11	18	20	7	host	gene-PA4840	0.4945038196038638	0	0	0	1
gene-PA4994	42	32	15	33	6	4	1	2	host	gene-PA4994	0.9086386204983694	0	0	0	1
gene-PA0326	4	6	3	6	0	2	1	1	host	gene-PA0326	0.7467636537964203	0	1	0	1
gene-PA4524	86	72	86	94	22	22	10	13	host	nadC	0.6823353033808982	0	0	0	1
gene-PA3839	54	36	55	49	10	7	4	6	host	gene-PA3839	0.7820465549774158	0	0	0	1
gene-PA4607	3576	2765	1414	1313	226	264	129	81	host	gene-PA4607	1.0185622807559203	0	0	0	1
gene-PA3336	10	19	2	27	1	8	3	1	host	gene-PA3336	1.0069191296740916	0	0	0	1
gene-PA0412	512	459	318	491	48	43	24	14	host	pilK	0.8944170975066374	0	0	0	1
gene-PA1116	51	71	61	86	22	27	12	16	host	gene-PA1116	0.6011282785928476	0	0	0	1
gene-PA2115	37	23	18	27	9	8	3	2	host	gene-PA2115	0.7362520520407181	0	0	0	1
gene-PA0220	43	28	9	9	2	10	2	3	host	gene-PA0220	1.0360191632673468	0	0	0	1
gene-PA4350	15	6	5	5	0	2	0	1	host	gene-PA4350	1.089427010438361	0	1	0	1
gene-PA4552	82	93	169	154	21	12	7	10	host	pilW	0.9064917629628318	0	0	0	1
gene-PA2565	14	15	12	17	2	3	2	1	host	gene-PA2565	0.7755444783072561	0	0	0	1
gene-PA5348	713	629	362	440	35	44	11	15	host	gene-PA5348	0.9740895974808552	0	0	0	1
gene-PA0312	222	148	56	86	20	8	3	11	host	gene-PA0312	1.0703164445650972	0	0	0	1
gene-PA0824	21	27	9	14	4	7	9	4	host	gene-PA0824	0.6528861982088718	0	0	0	1
gene-PA0348	17	17	22	21	3	5	4	2	host	gene-PA0348	0.7100465924901146	0	0	0	1
gene-PA0221	15	7	7	13	2	2	0	1	host	gene-PA0221	0.9024387259765317	0	1	0	1
gene-PA2064	8	6	9	12	0	2	0	1	host	pcoB	0.9100850771468728	0	1	0	1
gene-PA0274	9	5	6	5	1	0	0	2	host	gene-PA0274	0.8689660757568884	0	1	0	1
gene-PA1325	5	4	7	11	2	5	1	0	host	gene-PA1325	0.7575470619178772	0	1	0	1
gene-PA0076	26	40	20	42	4	9	3	6	host	gene-PA0076	0.7931932649459118	0	0	0	1
gene-PA1529	178	190	294	408	46	67	36	22	host	lig	0.8422347907695068	0	0	0	1
gene-PA0859	16	19	18	54	5	8	3	2	host	gene-PA0859	1.0134140318744358	0	0	0	1
gene-PA1231	3	7	0	6	1	2	0	0	host	gene-PA1231	1.0926599732645628	0	1	0	1
gene-PA3597	16	21	7	18	4	4	1	0	host	gene-PA3597	0.8662830599820721	0	1	0	1
gene-PA0846	34	33	33	53	8	6	4	1	host	gene-PA0846	0.8323502403801526	0	0	0	1
gene-PA4049	55	44	45	70	15	15	8	5	host	gene-PA4049	0.7105936248457736	0	0	0	1
gene-PA1640	142	148	59	107	25	23	6	5	host	gene-PA1640	0.8694151718649173	0	0	0	1
gene-PA3456	19	21	16	26	3	3	3	1	host	gene-PA3456	0.8157244799692921	0	0	0	1
gene-PA2229	36	13	15	14	3	2	1	2	host	gene-PA2229	1.0293160919223594	0	0	0	1
gene-PA3190	2256	4594	788	2516	89	174	63	46	host	gene-PA3190	1.1817153818571615	0	0	0	1
gene-PA0305	53	50	59	67	11	14	3	6	host	gene-PA0305	0.7600664400034419	0	0	0	1
gene-PA0905.1	655	918	326	530	180	304	113	79	host	gene-PA0905.1	0.7042015801025117	0	0	0	1
gene-PA0085	645	740	429	761	119	179	147	85	host	hcp1	0.7036546189818432	0	0	0	1
gene-PA3223	5	6	23	30	1	3	2	1	host	azoR3	1.1783102295339711	0	0	0	1
gene-PA2028	6	15	8	11	2	2	3	0	host	gene-PA2028	0.8226644650715406	0	1	0	1
gene-PA2845	8	2	3	1	0	0	0	0	host	gene-PA2845	1.4777257761126574	0	1	0	1
gene-PA1473	7	14	13	8	0	1	1	1	host	gene-PA1473	0.9488134240092976	0	1	0	1
gene-PA0142	12	17	20	28	6	4	3	3	host	gene-PA0142	0.7486064441870732	0	0	0	1
gene-PA4429	142	179	154	284	74	93	80	61	host	gene-PA4429	0.520209052934051	0	0	0	1
gene-PA3668	61	41	22	36	6	5	5	0	host	gene-PA3668	0.9365180808198417	0	1	0	1
gene-PA5085	69	54	24	29	6	8	2	2	host	gene-PA5085	0.9777523075273816	0	0	0	1
gene-PA1275	3	6	4	5	1	0	0	0	host	cobD	0.9633160640906908	0	1	0	1
gene-PA1303	42	48	58	116	5	6	2	1	host	gene-PA1303	1.0812210086858864	0	0	0	1
gene-PA4445	63	81	38	61	11	17	10	4	host	gene-PA4445	0.7730693343759919	0	0	0	1
gene-PA0907	27	31	25	22	7	4	3	4	host	gene-PA0907	0.7264035420407527	0	0	0	1
gene-PA2096	16	14	8	7	1	4	1	2	host	gene-PA2096	0.819615344489565	0	0	0	1
gene-PA2656	75	93	77	123	16	21	8	7	host	gene-PA2656	0.7994329055784118	0	0	0	1
gene-PA3555	2	2	1	0	0	0	0	0	host	arnD	1.3711309200802089	0	1	0	1
gene-PA4839	171	196	159	224	64	65	50	33	host	speA	0.5831850973544981	0	0	0	1
gene-PA0969	685	1255	550	798	105	117	65	46	host	tolQ	0.9161594309708077	0	0	0	1
gene-PA0935	352	219	146	199	37	36	25	16	host	gene-PA0935	0.884361039457356	0	0	0	1
gene-PA2628	25	33	14	35	1	10	7	1	host	gene-PA2628	0.8098349853221649	0	0	0	1
gene-PA3799	473	628	657	1195	135	183	109	45	host	gene-PA3799	0.8570539714257193	0	0	0	1
gene-PA1296	68	59	43	61	12	12	8	6	host	gene-PA1296	0.7448222344023652	0	0	0	1
gene-PA1115	63	71	44	46	2	11	1	4	host	gene-PA1115	0.896494245897919	0	0	0	1
gene-PA2051	2	2	0	2	0	0	2	1	host	gene-PA2051	0.8240220541217403	0	1	0	1
gene-PA2953	187	220	262	398	100	127	99	76	host	gene-PA2953	0.5526224069693921	0	0	0	1
gene-PA2885	76	47	14	20	5	5	2	2	host	atuR	1.1677031553465076	0	0	0	1
gene-PA0109	34	27	12	15	4	4	1	2	host	gene-PA0109	0.9327450155067343	0	0	0	1
gene-PA3674	40	37	21	31	4	6	2	1	host	gene-PA3674	0.8699392431933667	0	0	0	1
gene-PA3131	159	143	43	51	7	13	7	5	host	gene-PA3131	1.0973650143276288	0	0	0	1
gene-PA2977	427	356	356	549	67	82	37	28	host	murB	0.8122883762694509	0	0	0	1
gene-PA1868	18	12	10	46	3	2	2	3	host	xqhA	1.1629404780794053	0	0	0	1
gene-PA3918	59	42	17	36	12	7	10	3	host	moaC	0.8057344481434081	0	0	0	1
gene-PA5234	49	29	25	34	5	11	0	1	host	gene-PA5234	0.862537138562095	0	1	0	1
gene-PA4770	110	68	46	54	9	8	6	5	host	lldP	0.936147603440048	0	0	0	1
gene-PA1979	4	6	1	2	2	1	1	0	host	eraS	0.8625222528597165	0	1	0	1
gene-PA5382	11	8	2	10	2	1	0	3	host	gene-PA5382	0.8778584739952278	0	1	0	1
gene-PA1986	23	19	19	23	3	1	1	3	host	pqqB	0.837450447141662	0	0	0	1
gene-PA4217	161	387	232	694	59	145	43	10	host	phzS	0.9845483586866088	0	0	0	1
gene-PA0507	40	29	23	25	4	3	2	3	host	gene-PA0507	0.8640194764412035	0	0	0	1
gene-PA2513	3	1	5	3	1	0	0	0	host	antB	1.063098073929635	0	1	0	1
gene-PA5300	231	356	133	268	90	112	101	56	host	cycB	0.5818745709452766	0	0	0	1
gene-PA0235	9	11	6	3	0	2	1	0	host	pcaK	0.9842509842514764	0	1	0	1
gene-PA3659	81	56	62	57	7	17	4	9	host	gene-PA3659	0.7779099661782877	0	0	0	1
gene-PA3767	276	241	49	60	5	10	2	0	host	gene-PA3767	1.3101173939543265	0	1	0	1
gene-PA5146	167	138	114	170	38	39	31	12	host	gene-PA5146	0.6917055125993635	0	0	0	1
gene-PA3381	2	0	1	1	2	1	0	0	host	gene-PA3381	0.8921425711997711	0	1	0	1
