Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA5347	96	118	267	60	114	158	9	13	19	4	17	59	host	gene-PA5347	0.9649502756498649	0	1
gene-PA2290	405	462	121	526	690	295	129	120	29	37	16	360	host	gcd	0.8031514366703985	0	1
gene-PA3088	54	84	36	51	64	153	17	18	19	5	4	221	host	gene-PA3088	1.0378072642669158	0	1
gene-PA0430	163	203	170	261	359	371	51	75	28	21	17	193	host	metF	0.7550200220039613	0	1
gene-PA4308	343	283	80	128	189	309	39	39	36	36	24	476	host	gene-PA4308	0.8862983804768504	0	1
gene-PA0527.1	427	1361	333	370	842	399	312	668	127	449	267	146	host	rsmY	0.6917539044092436	0	1
gene-PA1664	2	3	25	2	4	40	0	1	6	4	1	22	host	gene-PA1664	1.3315001171548846	0	1
gene-PA3738	25	26	35	18	28	183	2	3	26	3	1	147	host	xerD	1.3737652017888222	0	1
gene-PA2029	23	39	17	15	14	75	6	2	14	2	2	68	host	gene-PA2029	1.0357110676146641	0	1
gene-PA4085	6	10	552	3	7	217	0	1	32	0	1	111	host	cupB2	1.9903592902085572	0	1
gene-PA3760	30	29	37	7	21	188	7	6	32	2	2	341	host	gene-PA3760	1.675409896060911	0	1
gene-PA1501	46	39	21	18	18	161	2	3	15	4	5	283	host	gene-PA1501	1.588140161670639	0	1
gene-PA0771	159	226	496	264	403	245	45	60	27	25	18	101	host	era	0.8784459197545436	0	1
gene-PA2611	330	217	86	302	365	183	54	38	9	24	20	192	host	cysG	0.8242871719655259	0	1
gene-PA4300	27	14	20	16	32	1394	8	5	15	7	4	370	host	tadC	2.416164932028519	0	1
gene-PPLUZ19_gp36	0	0	32	259	543	132262	55	282	116906	197229	129583	489496	phage	gp36	1.5630864767693542	0	0
gene-PA4008	21	8	20	13	15	155	2	1	18	0	5	198	host	gene-PA4008	1.6566062941042279	0	1
gene-PA4214	8	90	6184	8	206	367	2	27	41	9	2	421	host	phzE1	2.7460612841886696	0	1
gene-PA4694	772	853	429	891	993	560	155	168	39	63	66	157	host	ilvC	0.819252310330462	0	1
gene-PA5103	60	40	50	21	28	199	2	7	31	1	3	265	host	gene-PA5103	1.3694774154597145	0	1
gene-PA2972	35	44	37	75	105	172	15	13	13	4	6	75	host	gene-PA2972	0.9688724047538637	0	1
gene-PA5432	1	3	18	2	8	116	0	4	7	1	1	237	host	gene-PA5432	2.0760581455735845	0	1
gene-PA3512	6	7	22	5	6	135	2	1	15	0	1	221	host	gene-PA3512	1.8970921116965664	0	1
gene-PA5095	25	37	37	25	25	207	6	6	26	0	1	241	host	gene-PA5095	1.4674183861688708	0	1
gene-PPLUZ19_gp16	0	0	97	5	8	15802	99293	112838	69633	57700	50473	82191	phage	gp16	1.0156217237480003	0	0
gene-PA0035	52	43	40	23	33	149	1	4	16	6	2	177	host	trpA	1.2166080919367661	0	1
gene-PA2709	241	172	99	109	102	217	21	26	20	9	3	214	host	cysK	0.8313065495614694	0	1
gene-PA1304	83	74	46	62	92	280	9	18	32	11	8	751	host	gene-PA1304	1.6569528204530781	0	1
gene-PA0803	30	34	19	22	42	57	3	9	7	3	4	148	host	gene-PA0803	1.2320773568460337	0	1
gene-PA4870	5	8	25	6	12	71	5	2	23	0	0	82	host	gene-PA4870	1.3329036205831328	0	1
gene-PA2594	16	25	21	19	19	109	2	5	19	4	2	160	host	gene-PA2594	1.4071976929279246	0	1
gene-PA0495	42	42	23	18	29	168	6	5	19	4	2	136	host	gene-PA0495	1.255341486162872	0	1
gene-PA1915	83	79	39	30	40	198	11	7	20	7	7	298	host	gene-PA1915	1.2684098958178776	0	1
gene-PPLUZ19_gp40	0	0	4	97	195	60908	14	69	13429	18846	12573	141670	phage	gp40	1.9448871884703816	0	0
gene-PA0045	86	183	197	294	344	457	79	88	69	39	39	148	host	gene-PA0045	0.7580217859015197	0	1
gene-PA5320	163	170	725	101	164	290	29	14	229	21	11	244	host	coaC	1.047130229620436	0	1
gene-PA4147	93	34	830	21	38	215	4	10	33	3	3	352	host	acoR	1.705675588300026	0	1
gene-PA3417	25	9	17	4	9	74	3	1	5	2	1	195	host	gene-PA3417	1.87079164357258	0	1
gene-PA2962	88	74	20	73	114	96	7	20	6	5	7	100	host	tmk	0.8172751838572394	0	1
gene-PA5216	149	173	52	28	39	209	4	5	44	8	3	313	host	gene-PA5216	1.133583521464629	0	1
gene-PA0887	1524	944	68	686	927	344	203	127	44	82	116	553	host	acsA	0.9595531360542263	0	1
gene-PA1281	5	6	12	4	8	43	0	2	3	1	0	72	host	cobV	1.61721508012528	0	1
gene-PA2037	48	67	122	28	56	586	5	12	53	5	2	372	host	gene-PA2037	1.5267218062651196	0	1
gene-PA2057	14	16	34	5	6	216	4	0	22	1	1	289	host	gene-PA2057	1.815563010286707	0	1
gene-PPLUZ19_gp44	0	0	0	48	58	11919	9	39	2170	1816	1163	21991	phage	gp44	1.9889301836881303	0	0
gene-PA2279	8	4	12	4	10	92	2	3	9	2	2	230	host	arsC	2.047126801912645	0	1
gene-PA4180	122	93	161	58	42	342	14	6	38	3	10	378	host	gene-PA4180	1.167817908763177	0	1
gene-PA2433	14	9	6	13	13	69	4	1	6	0	2	98	host	gene-PA2433	1.5083950980570253	0	1
gene-PA4222	213	173	289	124	180	393	52	55	54	7	7	157	host	gene-PA4222	0.7937987018289496	0	1
gene-PA3526	104	86	41	81	97	104	15	23	13	11	6	114	host	gene-PA3526	0.7136966228144118	0	1
gene-PA1143	11	6	5	3	2	60	1	1	2	1	0	65	host	gene-PA1143	1.705234844614975	0	1
gene-PA5496	84	130	108	60	114	186	4	13	18	11	1	78	host	nrdJb	0.8504944691072946	0	1
gene-PA5428	56	34	64	25	27	160	8	9	20	3	2	479	host	gene-PA5428	1.745579593443333	0	1
gene-PA2908	32	20	8	17	24	59	5	6	11	0	2	127	host	cbiD	1.322114396172517	0	1
gene-PA0435	20	14	21	16	37	187	3	4	14	2	1	389	host	gene-PA0435	1.8785162057098233	0	1
gene-PA1259	14	6	21	3	4	122	0	2	19	2	1	173	host	gene-PA1259	1.7571932236674301	0	1
gene-PA3303	27	19	27	12	17	162	5	2	27	2	0	196	host	gene-PA3303	1.5168902515936387	0	1
gene-PA5542	450	262	84	240	334	286	37	31	42	6	7	321	host	gene-PA5542	0.8553505069829084	0	1
gene-PA5167	536	505	335	1006	1398	357	113	93	48	21	28	184	host	gene-PA5167	1.0661891918638586	0	1
gene-PA5354	6	6	20	1	4	62	0	0	244	0	0	108	host	glcE	1.8590864101016866	0	1
gene-PPLUZ19_gp48	0	0	0	150	232	20327	32	118	5462	1100	717	31034	phage	gp48	1.955866062532844	0	0
gene-PA1831	81	138	39	88	94	146	18	23	24	11	8	155	host	gene-PA1831	0.7735831267514115	0	1
gene-PA1023	51	58	39	33	34	170	6	3	16	1	0	291	host	gene-PA1023	1.4177646971738516	0	1
gene-PA3303a	9	11	3	9	7	61	0	1	5	0	0	67	host	gene-PA3303a	1.561710223402039	0	1
gene-PA3368	12	16	23	13	26	91	3	5	12	2	0	103	host	gene-PA3368	1.2928791855744317	0	1
gene-PA1542	8	12	23	6	25	145	6	2	16	1	1	78	host	gene-PA1542	1.5209118158472998	0	1
gene-PA5039	518	356	99	279	370	141	47	27	17	17	20	89	host	aroK	0.9968115683137971	0	1
gene-PA0516	12	7	32	4	5	237	3	1	19	1	1	478	host	nirF	2.0899342094908153	0	1
gene-PA0955	211	183	66	206	289	230	40	45	16	29	18	158	host	gene-PA0955	0.7563403208968315	0	1
gene-PA1947	74	52	22	69	89	96	12	9	13	2	4	171	host	rbsA	0.960729184961925	0	1
gene-PA0668.3	241	564	305	236	434	747	157	345	135	211	131	235	host	gene-PA0668.3	0.5736702531503641	0	1
gene-PA3110	95	118	58	170	263	124	47	40	10	20	12	76	host	gene-PA3110	0.8286651481693108	0	1
gene-PA0542	182	101	132	51	88	185	14	16	18	6	5	217	host	gene-PA0542	0.8859958894132479	0	1
gene-PA5193	121	140	50	71	127	216	21	23	22	21	10	342	host	yrfI	0.9898070521551051	0	1
gene-PA2231	45	60	52	47	75	254	11	7	33	4	7	233	host	pslA	1.1770995102449213	0	1
gene-PA1870	3	13	6	2	9	71	1	2	8	4	0	93	host	gene-PA1870	1.6606453471551723	0	1
gene-PA4977	45	48	32	37	88	181	4	5	32	1	3	260	host	aruI	1.252012793453663	0	1
gene-PA2659	75	86	21	57	68	81	14	25	7	5	7	50	host	gene-PA2659	0.7271045739055564	0	1
gene-PA0358	17	23	24	32	51	140	10	15	20	4	2	137	host	gene-PA0358	1.1607066335627947	0	1
gene-PA2692	45	21	9	25	24	79	9	5	6	7	0	198	host	gene-PA2692	1.495005806603547	0	1
gene-PA2922	3	1	22	0	3	167	0	0	16	0	1	214	host	gene-PA2922	1.9747416441109225	0	1
gene-PA5149.1	105	156	20	29	56	197	6	9	41	5	6	75	host	gene-PA5149.1	1.037835613876548	0	1
gene-PA3314	19	17	12	8	15	38	6	5	5	5	3	91	host	gene-PA3314	1.2702442316984812	0	1
gene-PA3079	1369	1208	97	1904	2317	388	129	81	37	39	61	421	host	gene-PA3079	1.1619343834916105	0	1
gene-PA0710	3	5	134	3	0	70	0	0	38	0	0	143	host	gloA2	1.5580787616835767	0	1
gene-PA4439	163	140	66	115	137	224	25	26	31	13	12	231	host	trpS	0.7857655527548055	0	1
gene-PA0332	29	42	6	27	37	52	7	10	3	4	1	39	host	gene-PA0332	0.812652225568862	0	1
gene-PA0626	121	101	78	98	162	224	107	131	60	86	57	200	host	gene-PA0626	0.42514676190668726	0	1
gene-PA4721	117	144	44	54	71	163	7	11	14	6	6	215	host	gene-PA4721	0.9712014018372478	0	1
gene-PA1031	476	363	150	154	251	314	33	50	59	33	13	925	host	gene-PA1031	1.075396183763874	0	1
gene-PA2102	29	44	37	14	19	100	2	1	15	1	1	34	host	gene-PA2102	1.0904257565017765	0	1
gene-PA2936	1	3	6	1	5	70	0	0	7	0	2	73	host	gene-PA2936	1.8445083042246628	0	1
gene-PA5408	64	21	8	17	22	44	4	4	3	1	0	91	host	gene-PA5408	1.1874298270519974	0	1
gene-PA0793	395	152	821	236	193	241	25	16	168	8	12	306	host	gene-PA0793	1.0213038755203108	0	1
gene-PA1373	19	8	23	15	16	99	3	8	11	4	1	155	host	fabF2	1.4994173853017292	0	1
gene-PA3617	673	655	222	364	480	358	109	141	29	96	56	197	host	recA	0.7628515642087854	0	1
gene-PA1013	563	534	147	388	529	272	89	107	25	60	58	98	host	purC	0.8347178420588313	0	1
gene-PA2800	267	386	131	289	439	285	82	77	26	58	49	100	host	gene-PA2800	0.7501418893170536	0	1
gene-PA3109	61	71	20	66	117	82	20	22	12	11	10	95	host	gene-PA3109	0.7344987831153652	0	1
gene-PA0499	37	27	40	15	20	245	5	4	26	4	3	217	host	gene-PA0499	1.5019648967169676	0	1
gene-PA1022	68	69	44	49	53	924	9	7	20	9	4	273	host	gene-PA1022	1.9629074937149458	0	1
gene-PA2932	11	5	24	1	4	120	2	2	20	1	0	238	host	morB	1.931099855098767	0	1
gene-PA3652	349	442	184	248	358	361	99	142	34	107	60	158	host	uppS	0.6149953838478271	0	1
gene-PA2109	48	2	4	53	15	39	6	5	8	1	2	117	host	gene-PA2109	1.3265494085533842	0	1
gene-PA1528	716	692	234	356	610	328	71	101	44	56	38	166	host	zipA	0.8685543321997113	0	1
gene-PA1364	81	51	14	5	6	87	1	4	19	1	1	176	host	gene-PA1364	1.3843580257714647	0	1
gene-PA0163	24	17	33	6	10	213	3	2	16	3	1	400	host	gene-PA0163	1.9244853555142836	0	1
gene-PA2021	5	8	2	4	8	27	4	2	1	0	0	65	host	gene-PA2021	1.7003401020340116	0	1
gene-PA3208	40	30	7	29	32	35	9	7	7	7	0	49	host	gene-PA3208	0.7499055118106487	0	1
gene-PA2258	8	11	13	4	11	129	0	4	9	0	0	170	host	ptxR	1.815222259418234	0	1
gene-PA3581	24	31	20	44	74	160	5	5	18	3	0	307	host	glpF	1.5022035303108892	0	1
gene-PA4551	50	57	2286	62	82	269	10	12	2477	5	2	88	host	pilV	1.927494375582257	0	1
gene-PA4926	29	19	19	13	23	134	1	4	26	1	2	160	host	gene-PA4926	1.4159197665739243	0	1
gene-PA5452	964	707	136	614	836	344	54	54	38	9	22	301	host	wbpW	0.9881268847093202	0	1
gene-PA1885	29	19	17	3	6	36	2	3	6	0	0	94	host	gene-PA1885	1.4288914112781437	0	1
gene-PA0077	153	145	150	124	222	510	34	43	58	34	22	1083	host	icmF1	1.3562566359468682	0	1
gene-PA1553	223	334	220	233	411	302	78	109	33	79	52	96	host	ccoO1	0.6560742599432539	0	1
gene-PA2060	4	3	12	3	1	99	0	2	11	0	0	166	host	gene-PA2060	1.9970370210916915	0	1
gene-PA2916	2	1	7	1	0	66	1	0	5	0	1	103	host	gene-PA2916	2.0404766242262014	0	1
gene-PA2400	16637	16028	4968	14908	22967	4591	2903	3447	238	1435	1018	1165	host	pvdJ	0.9961885956377705	0	1
gene-PA1009	72	56	34	52	53	198	8	17	17	3	5	168	host	gene-PA1009	1.0665321918181931	0	1
gene-PA3833	32	34	176	16	27	79	5	5	10	2	2	71	host	gene-PA3833	1.263411823245907	0	1
gene-PA0318	214	159	87	78	99	203	20	27	19	11	146	128	host	gene-PA0318	0.6934611443652187	0	1
gene-PA0195.1	8	12	18	2	7	105	2	0	8	1	1	126	host	pntAB	1.7122764398370163	0	1
gene-PA0155	17	4	39	8	4	261	6	3	31	4	1	322	host	pcaR	1.8108561511064318	0	1
gene-PA4459	120	138	72	88	146	293	35	46	29	22	19	102	host	gene-PA4459	0.8035288617122459	0	1
gene-PA0580	124	137	58	100	174	176	37	51	24	21	12	237	host	gcp	0.7351234222559098	0	1
gene-PA3915	2	4	35	3	6	146	3	1	31	1	0	190	host	moaB1	1.7381997137478782	0	1
gene-PA4409	505	468	168	435	663	273	36	54	25	27	15	218	host	ftsQ	0.9013986793461082	0	1
gene-PA0831	64	44	23	15	25	196	8	12	20	6	6	319	host	oruR	1.5055731105068084	0	1
gene-PA2971	838	1699	337	986	1761	634	402	544	68	339	164	100	host	gene-PA2971	0.8381415852494432	0	1
gene-PA2083	13	12	39	8	9	164	1	0	15	1	1	188	host	gene-PA2083	1.6739666059441378	0	1
gene-PA5052	20	28	45	24	30	89	6	7	13	5	4	114	host	gene-PA5052	1.0471720988554614	0	1
gene-PA0361	74	69	42	62	92	205	14	16	26	11	5	343	host	gene-PA0361	1.19047629196065	0	1
gene-PA5439	120	74	47	29	37	250	13	12	27	4	7	427	host	gene-PA5439	1.3993460876984776	0	1
gene-PA3424	12	16	24	14	19	118	5	5	28	3	2	165	host	gene-PA3424	1.4464653688669424	0	1
gene-PA2905	1	2	4	1	8	43	1	1	3	0	0	61	host	cobH	1.830916710284769	0	1
gene-PA3115	1924	1529	844	956	1245	445	194	203	63	94	90	369	host	fimV	0.9107222964809683	0	1
gene-PA3302	136	97	64	93	117	147	33	23	16	8	11	139	host	gene-PA3302	0.7032524392892137	0	1
gene-PA3602	35	70	46	27	42	271	7	8	43	5	2	358	host	gene-PA3602	1.4417806780965186	0	1
gene-PA0207	16	12	37	4	7	168	4	0	11	1	1	351	host	gene-PA0207	1.978563188312371	0	1
gene-PA3482	268	366	216	297	366	455	52	92	52	58	29	277	host	metG	0.6766900246944019	0	1
gene-PA2257	2	0	1	2	2	21	0	0	4	0	0	40	host	pvcD	1.947220240924654	0	1
gene-PA0728	39	46	274	16	29	201	3	4	23	3	4	87	host	gene-PA0728	1.3778103091511076	0	1
gene-PA2882	9	11	10	9	13	105	2	7	10	2	2	207	host	gene-PA2882	1.8367622304087774	0	1
gene-PA4218	312	267	264	397	608	259	62	78	20	30	40	219	host	gene-PA4218	0.800700061788683	0	1
gene-PA4606	465	552	436	728	887	533	96	84	59	49	42	401	host	gene-PA4606	0.7722911872261751	0	1
gene-PA3446	5	3	23	1	4	157	1	0	11	2	2	222	host	gene-PA3446	1.9549611932881874	0	1
gene-PA5489	541	540	241	287	342	225	51	81	35	49	34	80	host	dsbA	0.8625160589641074	0	1
gene-PA0511	6	5	33	1	2	139	1	0	23	0	0	369	host	nirJ	2.1507708985694185	0	1
gene-PA0940	38	21	6	37	24	55	12	17	7	1	3	21	host	gene-PA0940	0.7766396734862917	0	1
gene-PA4807	88	56	20	41	45	148	6	9	16	6	6	311	host	selB	1.3581861189563338	0	1
gene-PA4840	31	43	20	22	37	91	11	18	10	20	7	96	host	gene-PA4840	0.8454126282902364	0	1
gene-PA4994	42	32	3962	15	33	264	6	4	4128	1	2	207	host	gene-PA4994	2.0527048332109668	0	1
gene-PA0326	4	6	55	3	6	367	0	2	32	1	1	186	host	gene-PA0326	1.9325469958010266	0	1
gene-PA4524	86	72	5006	86	94	226	22	22	35	10	13	219	host	nadC	2.7767579990830664	0	1
gene-PA3839	54	36	3182	55	49	390	10	7	302	4	6	655	host	gene-PA3839	2.1789728348371966	0	1
gene-PA4607	3576	2765	309	1414	1313	226	226	264	33	129	81	120	host	gene-PA4607	1.298086504481829	0	1
gene-PA3336	10	19	99	2	27	124	1	8	11	3	1	204	host	gene-PA3336	1.4690371867384155	0	1
gene-PA0412	512	459	132	318	491	200	48	43	25	24	14	353	host	pilK	0.868364272205866	0	1
gene-PA1116	51	71	43	61	86	205	22	27	18	12	16	159	host	gene-PA1116	0.9021225468049169	0	1
gene-PA2115	37	23	22	18	27	93	9	8	12	3	2	100	host	gene-PA2115	1.0694095969049056	0	1
gene-PA0220	43	28	65	9	9	313	2	10	24	2	3	454	host	gene-PA0220	1.744421504098916	0	1
gene-PA4350	15	6	37	5	5	81	0	2	9	0	1	123	host	gene-PA4350	1.5779048681910137	0	1
gene-PA4552	82	93	70	169	154	235	21	12	27	7	10	173	host	pilW	0.8500427037309011	0	1
gene-PA2565	14	15	8	12	17	59	2	3	8	2	1	78	host	gene-PA2565	1.2819507637505243	0	1
gene-PA5348	713	629	246	362	440	150	35	44	192	11	15	73	host	gene-PA5348	0.9609921244113516	0	1
gene-PA0312	222	148	32	56	86	88	20	8	5	3	11	89	host	gene-PA0312	1.0073379858361011	0	1
gene-PA0824	21	27	23	9	14	101	4	7	12	9	4	69	host	gene-PA0824	1.1398245479020006	0	1
gene-PA0348	17	17	11	22	21	165	3	5	22	4	2	294	host	gene-PA0348	1.7576136075915114	0	1
gene-PA0221	15	7	29	7	13	218	2	2	28	0	1	382	host	gene-PA0221	1.9326911463420018	0	1
gene-PA2064	8	6	11	9	12	78	0	2	11	0	1	182	host	pcoB	1.9135617967549416	0	1
gene-PA0274	9	5	18	6	5	141	1	0	14	0	2	339	host	gene-PA0274	2.1391317803404615	0	1
gene-PA1325	5	4	6	7	11	64	2	5	6	1	0	160	host	gene-PA1325	1.9756934492986953	0	1
gene-PA0076	26	40	26	20	42	63	4	9	11	3	6	138	host	gene-PA0076	1.1239004853582077	0	1
gene-PA1529	178	190	97	294	408	353	46	67	31	36	22	394	host	lig	0.812243142891481	0	1
gene-PA0859	16	19	5	18	54	48	5	8	11	3	2	117	host	gene-PA0859	1.2552593445351456	0	1
gene-PA1231	3	7	4	0	6	83	1	2	5	0	0	129	host	gene-PA1231	1.9827380058898352	0	1
gene-PA3597	16	21	34	7	18	279	4	4	42	1	0	242	host	gene-PA3597	1.6662638307437412	0	1
gene-PA0846	34	33	51	33	53	221	8	6	45	4	1	108	host	gene-PA0846	1.184768616579391	0	1
gene-PA4049	55	44	21	45	70	157	15	15	11	8	5	202	host	gene-PA4049	1.1142958473773452	0	1
gene-PA1640	142	148	67	59	107	168	25	23	21	6	5	252	host	gene-PA1640	0.8808090909181547	0	1
gene-PA3456	19	21	28	16	26	120	3	3	22	3	1	176	host	gene-PA3456	1.4240207568823482	0	1
gene-PA2229	36	13	19	15	14	114	3	2	10	1	2	184	host	gene-PA2229	1.569251991197309	0	1
gene-PA3190	2256	4594	1241	788	2516	429	89	174	83	63	46	504	host	gene-PA3190	1.2582297661267452	0	1
gene-PA0305	53	50	88	59	67	514	11	14	58	3	6	946	host	gene-PA0305	1.7512563262124345	0	1
gene-PA0905.1	655	918	166	326	530	348	180	304	76	113	79	41	host	gene-PA0905.1	0.8271146472152129	0	1
gene-PA0085	645	740	1045	429	761	529	119	179	35	147	85	126	host	hcp1	0.7965641075476823	0	1
gene-PA3223	5	6	19	23	30	115	1	3	13	2	1	81	host	azoR3	1.388870233739859	0	1
gene-PA2028	6	15	39	8	11	186	2	2	23	3	0	131	host	gene-PA2028	1.6089045017325603	0	1
gene-PA2845	8	2	4	3	1	37	0	0	0	0	0	55	host	gene-PA2845	1.8576622650280357	0	1
gene-PA1473	7	14	9	13	8	52	0	1	9	1	1	125	host	gene-PA1473	1.7182840277439582	0	1
gene-PA0142	12	17	37	20	28	222	6	4	29	3	3	417	host	gene-PA0142	1.8107817120593495	0	1
gene-PA4429	142	179	186	154	284	363	74	93	78	80	61	125	host	gene-PA4429	0.5812845572643924	0	1
gene-PA3668	61	41	11	22	36	46	6	5	6	5	0	48	host	gene-PA3668	0.8518504638076096	0	1
gene-PA5085	69	54	30	24	29	112	6	8	48	2	2	162	host	gene-PA5085	1.0299034923517574	0	1
gene-PA1275	3	6	10	4	5	39	1	0	13	0	0	74	host	cobD	1.6348315808078397	0	1
gene-PA1303	42	48	16	58	116	69	5	6	7	2	1	216	host	gene-PA1303	1.240833787295264	0	1
gene-PA4445	63	81	22	38	61	210	11	17	12	10	4	223	host	gene-PA4445	1.161287286619587	0	1
gene-PA0907	27	31	730	25	22	135	7	4	25	3	4	88	host	gene-PA0907	2.1371067445026575	0	1
gene-PA2096	16	14	16	8	7	96	1	4	14	1	2	183	host	gene-PA2096	1.7337065872199613	0	1
gene-PA2656	75	93	36	77	123	170	16	21	23	8	7	229	host	gene-PA2656	0.9258581301822589	0	1
gene-PA3555	2	2	10	1	0	46	0	0	8	0	0	109	host	arnD	2.0896762004916334	0	1
gene-PA4839	171	196	102	159	224	446	64	65	35	50	33	453	host	speA	0.8460282571285122	0	1
gene-PA0969	685	1255	238	550	798	363	105	117	41	65	46	144	host	tolQ	0.9964401549842737	0	1
gene-PA0935	352	219	102	146	199	226	37	36	34	25	16	164	host	gene-PA0935	0.7842681678500246	0	1
gene-PA2628	25	33	26	14	35	114	1	10	9	7	1	249	host	gene-PA2628	1.5666346582527368	0	1
gene-PA3799	473	628	312	657	1195	569	135	183	60	109	45	227	host	gene-PA3799	0.8471632521695923	0	1
gene-PA1296	68	59	38	43	61	219	12	12	18	8	6	331	host	gene-PA1296	1.3103598508713208	0	1
gene-PA1115	63	71	126	44	46	329	2	11	41	1	4	331	host	gene-PA1115	1.26890940467666	0	1
gene-PA2051	2	2	5	0	2	40	0	0	4	2	1	152	host	gene-PA2051	2.395403762139792	0	1
gene-PA2953	187	220	164	262	398	578	100	127	73	99	76	259	host	gene-PA2953	0.6764701701081615	0	1
